book_id,author
0030059380,Douglas A. Skooq
0030303370,William Rife
0030615372,Colin M. Turnbull
0060287659,Geraldine McCaughrean
0060393645,Marilu Henner
0060393645, Lorin Henner
0060930497,Kenneth R. Miller
0060959290,Colin Thubron
0070121430,Thomas H. Cormen
0070121430, Charles E. Leiserson
0070121430, Ronald L. Rivest 
0070349096,Henry Z. Kister
0070498415,Robert H. Perry
0070571864,Gershon J. Shugar
0071354190,Peter Lane Taylor
0072127317,Blake Schwendiman
0072127481,Joel Scambray
0078823927,Herb Schildt
0078823978,Thomas Powell
0120594757,Neal G. Anderson
0120848104,Les Beletsky
0125535600,G. M. Phillips
0125535600, P.J. Taylor
0130264857,Jan Fair
0130264857, Sadie Bragg
0130273635,Bruce Eckel
0130819735,Jame Laudon
0134897250,Bernd Bruegge
0134897250, Alan H. Dutoit 
0136603904,Kip R. Irvine
0137566107,Peter Abel
0138613370,Jeffrey D. Ullman
0151004714,Claire Messud
0156007088,John Lewis
0156007754,Jose Saramago
0156007754, Giovanni Pontiero
0198503652,Susan J. Blackmore
0201379260,Nicolai M. Josuttis
0201612585,Rajshekhar Sunderraman
0201615622,Herb Sutter
0201615711,Lincoln D. Stein
0201634422,S. Keshav
0201700735,Bjarne Stroustrup
0201709287,C. J. Date
0201709287, Hugh Darwen
0256228779,Gilbert Churchill
0256228779, Paul Petter
0262041642,Marco Dorigo
0262041642, Marco Colombetti
0262133822,Faith D. Aluisio
0262181916,Santiago Ramon y Cajal
0312135033,Carolly Erickson
0312965095,Kathleen Kane
0314129499,Welch Gruhlt
0316154075,Michael Connelly
0316695262,George P. Pelecanos
0316769487,J.D. Salinger
0345298063,Robert K. Massie
0345313860,Anne Rice
0345337662,Anne Rice
0345350499,Marion Zimmer Bradley
0345370775,Michael Crichton
0345377648,Anne Rice
0345384466,Anne Rice 
0345417623,Michael Crichton
0345419758,Mass Market
0345438310,Robert K. Massie
0374141231,Ian Wilmut
0374141231, Colin Tudge
0374141231, Keith Campbell
0375400818,Robert Kimball
0375502025,Tom Brokaw
0375810609,Jean De Brunhoff
0385326653,David Almond
0385479565,Richard Preston
0387987010,Peter Douglas Ward
0393314251,Stephen Jay Gould
0393316009,Andrea Barrett
0395851580,James Marshall
0399146652,Lilian Jackson Braun
0399147020,Nevada Barr
0399501487,William Gerald Golding
0425133540,Tom Clancy 
0425143325,Tom Clancy 
0425147584,Tom Clancy 
0439064864,J. K. Rowling
0439139597,J. K. Rowling
0439136350,J. K. Rowling
0440413729,Ruth White
0446310783,Harper Lee
0449202496,Erich Maria Remarque
0449911942,John Updike
0452272971,Sebastien Japrisot
0452272971, Linda Coverdale
0465041752,Frans de Waal
0471105597,David Halliday
0471105597, Robert Resnick
0471105597, Jearl Walker
0471135615,Robert Zubrin
0471169196,Kimmel Weygandt
